NO,Food,l_class,REFUSE,ENERC,ENERC_KCAL,WATER,PROTCAA,PROT-,FATNLEA,CHOLE,FAT-,CHOAVLM,CHOAVL,CHOAVLDF-,FIB-,POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB,TOCPHG,TOCPHD,VITK ,THIA,RIBF,NIA,NE,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,ALC,NACL_EQ
1,アマランサス　玄穀,1,0,1452,343,14,-11.3,13,5,0,6,64,58,60,7,-,65,-,3,1,600,160,270,540,9,6,1,6,1,13,7,59,0,0,2,0,2,Tr,0,1,2,0,1,0,0,0,1,-3.8,1,0,130,2,16,0,-,0
2,あわ　精白粒,1,0,1466,346,13,10,11,4,0,4,70,63,68,3,0,70,-,1,1,300,14,110,280,5,3,0,1,0,2,1,22,0,0,0,0,0,0,0,1,0,2,0,0,1,0,3,6,0,0,29,2,14,0,-,0
3,あわ　あわもち,1,0,890,210,48,-4.5,5,-1.2,0,1,-44.5,-40.5,45,2,-,45,-,0,0,62,5,12,39,1,1,0.2,0,0,1,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.7,0,0,7,1,3,0,-,0
4,えんばく　オートミール,1,0,1479,350,10,12,14,-5.1,0,6,63,57,62,9,-,69,-,2,3,260,47,100,370,4,2,0,-,0,18,0,110,0,-,-,-,0,0,0,1,0,0,0,0,0.2,0,1,5,0,0,30,1,22,0,-,0
5,おおむぎ　七分つき押麦,1,0,1454,343,14,-9.7,11,2,0,2,-71.3,-64.9,63,10,-,72,-,1,2,220,23,46,180,1,1,0,1,-,-,-,-,0,-,-,-,0,0,0,0,Tr,0,0,0,0,0,3,-5.8,0,0,17,0,-,0,-,0
6,おおむぎ　押麦　乾,1,0,1395,329,13,6,7,1,0,2,72,66,67,12,-,78,-,1,2,210,21,40,160,1,1,0,1,0,1,0,11,0,-,-,-,0,0,0,0,0,0,0,0,0,0,3,5,0,0,10,0.4,3,0,-,0
7,おおむぎ　押麦　めし,1,0,500,118,69,2,2,0,0,1,24,22,25,4,-,29,-,0,Tr,38,6,10,46,0,0,0,0,0,Tr,0,3,0,-,-,-,0,0,0,Tr,0,0,0,0,0,Tr,1,1,0,0,3,0,1,0,-,0
8,おおむぎ　米粒麦,1,0,1407,333,14,-6.2,7,-1.8,0,2,69,63,69,9,-,76,-,1,2,170,17,25,140,1,1,0,-,Tr,1,Tr,9,0,-,-,-,0,0,0,0,0,0,0,0,0,0,2,-4,0,0,10,1,4,0,-,0
9,おおむぎ　大麦めん　乾,1,0,1457,343,14,-11.7,13,-1.4,0,2,-72.2,-65.7,63,6,-,68,-,3,1100,240,27,63,200,2,2,0,0.9,-,-,-,-,0,-,-,-,0,0,0,Tr,Tr,0,0,0,0,0,4,-6.3,0,0,19,1,-,0,-,3
10,おおむぎ　大麦めん　ゆで,1,0,516,121,70,-4.4,5,-0.5,0,1,-25.2,-22.9,22,3,-,24,-,0,64,10,12,18,61,1,1,0,0,-,-,-,-,0,-,-,-,0,0,0,Tr,Tr,0,0,0,0,0,1,-2,0,0,5,0,-,0,-,0
11,おおむぎ　麦こがし,1,0,1553,368,4,-11.1,13,-4.2,0,5,-80.1,-72.8,64,16,-,77,-,2,2,490,43,130,340,3,4,0,2,-,-,-,-,0,-,-,-,0,0,0,1,0,0,0,0,0,0.1,8,-11,0,0,24,0,-,0,-,0
12,キヌア　玄穀,1,0,1455,344,12,10,13,3,0,3,61,55,67,6,-,69,-,2,35,580,46,180,410,4,3,0,2,2,3,3,23,0,0,11,1,12,1,0,3,0,4,0,Tr,0,0,1,4,0,Tr,190,1,23,0,-,0
13,きび　精白粒,1,0,1496,353,14,10,11,3,0,3,72,65,71,2,0,71,-,1,2,200,9,84,160,2,3,0,-,0,2,1,16,0,0,0,0,0,0,0,Tr,Tr,1,0,0,0,0,4,6,0.2,0,13,1,8,0,-,0
14,こむぎ　［玄穀］　国産　普通,1,0,1391,329,13,10,11,3,0,3,64,59,60,14,-,72,-,2,2,440,26,82,350,3,3,0,3.9,1,3,1,29,0,-,-,-,0,0,0,1,1,0,0,0,0,0,6,9,0,0,38,1,8,0,-,0
15,こむぎ　［玄穀］　輸入　軟質,1,0,1457,344,10,-,10,3,0,3,68,62,65,11,-,75,-,1,2,390,36,110,290,3,2,0,4,0,5,1,19,0,-,-,-,0,0,0,1,1,0,0,0,0,0,5,7,0,0,40,1,10,0,-,0
16,こむぎ　［玄穀］　輸入　硬質,1,0,1406,332,13,-,13,3,0,3,63,57,59,11,-,69,-,2,2,340,26,140,320,3,3,0,4,0,54,1,47,0,-,-,-,0,0,0,1,1,0,0,0,0,0,6,8,0,0,49,1,11,0,-,0
17,こむぎ　［小麦粉］　薄力粉　1等,1,0,1485,349,14,8,8,1,0,2,80,73,74,3,-,76,-,0,Tr,110,20,12,60,1,0,0,0,Tr,4,2,12,0,-,-,-,0,0,0,0,0,0,0,0,0,0,1,2,0,0,9,1,1,0,-,0
18,こむぎ　［小麦粉］　薄力粉　2等,1,0,1467,345,14,8,9,-1.6,0,2,78,71,73,3,-,74,-,1,Tr,130,23,30,77,1,1,0,1,0,3,2,14,0,-,-,-,0,0,0,1,1,0,0,0,0,0,1,3,0,0,14,1,3,0,-,0
19,こむぎ　［小麦粉］　中力粉　1等,1,0,1435,337,14,8,9,1,0,2,76,70,73,3,-,75,-,0,1,100,17,18,64,1,1,0,0,0,7,Tr,9,0,-,-,-,0,0,0,0,0,0,0,0,0.1,0,1,2,0,0,8,0,2,0,-,0
20,こむぎ　［小麦粉］　中力粉　2等,1,0,1466,346,14,9,10,-1.6,0,2,73,67,73,2,-,74,-,1,1,110,24,26,80,1,1,0,1,0,7,2,10,0,-,-,-,0,0,0,1,0,0,0,0,0,0,1,3,0,0,12,1,3,0,-,0
21,こむぎ　［小麦粉］　強力粉　1等,1,0,1432,337,15,11,12,1,0,2,74,67,70,3,-,72,-,0,Tr,89,17,23,64,1,1,0,0,0,39,1,26,0,-,-,-,0,0,0,0,0,0,0,0,0,0,1,3,0,0,16,1,2,0,-,0
