Food,l_class,NA,K,CA,MG,P,FE,ZN,CU,MN
アマランサス　玄穀,1.0,1.0,600.0,160.0,270.0,540.0,9.0,6.0,1.0,6.0
あわ　精白粒,1.0,1.0,300.0,14.0,110.0,280.0,5.0,3.0,0.0,1.0
あわ　あわもち,1.0,0.0,62.0,5.0,12.0,39.0,1.0,1.0,0.2,0.0
えんばく　オートミール,1.0,3.0,260.0,47.0,100.0,370.0,4.0,2.0,0.0,0.0
おおむぎ　七分つき押麦,1.0,2.0,220.0,23.0,46.0,180.0,1.0,1.0,0.0,1.0
おおむぎ　押麦　乾,1.0,2.0,210.0,21.0,40.0,160.0,1.0,1.0,0.0,1.0
おおむぎ　押麦　めし,1.0,0.0,38.0,6.0,10.0,46.0,0.0,0.0,0.0,0.0
おおむぎ　米粒麦,1.0,2.0,170.0,17.0,25.0,140.0,1.0,1.0,0.0,0.0
おおむぎ　大麦めん　乾,1.0,1100.0,240.0,27.0,63.0,200.0,2.0,2.0,0.0,0.9
おおむぎ　大麦めん　ゆで,1.0,64.0,10.0,12.0,18.0,61.0,1.0,1.0,0.0,0.0
おおむぎ　麦こがし,1.0,2.0,490.0,43.0,130.0,340.0,3.0,4.0,0.0,2.0
キヌア　玄穀,1.0,35.0,580.0,46.0,180.0,410.0,4.0,3.0,0.0,2.0
きび　精白粒,1.0,2.0,200.0,9.0,84.0,160.0,2.0,3.0,0.0,0.0
こむぎ　［玄穀］　国産　普通,1.0,2.0,440.0,26.0,82.0,350.0,3.0,3.0,0.0,3.9
こむぎ　［玄穀］　輸入　軟質,1.0,2.0,390.0,36.0,110.0,290.0,3.0,2.0,0.0,4.0
こむぎ　［玄穀］　輸入　硬質,1.0,2.0,340.0,26.0,140.0,320.0,3.0,3.0,0.0,4.0
こむぎ　［小麦粉］　薄力粉　1等,1.0,0.0,110.0,20.0,12.0,60.0,1.0,0.0,0.0,0.0
こむぎ　［小麦粉］　薄力粉　2等,1.0,0.0,130.0,23.0,30.0,77.0,1.0,1.0,0.0,1.0
こむぎ　［小麦粉］　中力粉　1等,1.0,1.0,100.0,17.0,18.0,64.0,1.0,1.0,0.0,0.0
こむぎ　［小麦粉］　中力粉　2等,1.0,1.0,110.0,24.0,26.0,80.0,1.0,1.0,0.0,1.0
こむぎ　［小麦粉］　強力粉　1等,1.0,0.0,89.0,17.0,23.0,64.0,1.0,1.0,0.0,0.0
こむぎ　［小麦粉］　強力粉　2等,1.0,0.0,86.0,21.0,36.0,86.0,1.0,1.0,0.0,1.0
こむぎ　［小麦粉］　強力粉　全粒粉,1.0,2.0,330.0,26.0,140.0,310.0,3.0,3.0,0.0,4.0
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,1.0,1400.0,210.0,64.0,31.0,320.0,1.0,1.0,0.0,1.0
